Header
rate=30
frames=120
duration=4.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,
0.333333,10,-3.47886,-1.71302,-3.45405,-1.33647,21.6205,-6.24577,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.366667,11,-3.47886,-1.71302,-3.45405,-1.33647,25.2886,-7.3585,-0.24556,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.4,12,-3.47886,-1.71302,-3.45405,-1.33647,29.0575,-8.52054,-11.6474,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.433333,13,-3.47886,-1.71302,-3.45405,-1.33647,32.884,-9.72203,-31.2863,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.466667,14,-3.47886,-1.71302,-3.45405,-1.33647,36.7248,-10.9531,-52.9749,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.5,15,-3.47886,-1.71302,-3.45405,-1.33647,40.5367,-12.2039,-70.5256,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.533333,16,-3.47886,-1.71302,-3.45405,-1.33647,44.2764,-13.4646,-77.7508,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.566667,17,-3.47886,-1.71302,-3.45405,-1.33647,47.9007,-14.7252,-75.0665,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.6,18,-3.47886,-1.71302,-3.45405,-1.33647,51.3664,-15.976,-67.9897,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,bite,
0.633333,19,-3.47886,-1.71302,-3.45405,-1.33647,54.6301,-17.2071,-57.9844,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.666667,20,-3.47886,-1.71302,-3.45405,-1.33647,57.6486,-18.4086,-46.5151,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.7,21,-3.47886,-1.71302,-3.45405,-1.33647,60.3787,-19.5706,-35.0457,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.733333,22,-3.47886,-1.71302,-3.45405,-1.33647,62.7771,-20.6834,-25.0405,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.766667,23,-3.47886,-1.71302,-3.45405,-1.33647,64.8007,-21.7369,-17.9636,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.8,24,-3.47886,-1.71302,-3.45405,-1.33647,66.406,-22.7215,-15.2793,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.833333,25,-3.47886,-1.71302,-3.45405,-1.33647,67.5499,-23.6271,-16.3506,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.866667,26,-3.47886,-1.71302,-3.45405,-1.33647,68.1892,-24.444,-19.3124,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.9,27,-3.47886,-1.71302,-3.45405,-1.33647,68.3136,-25.1622,-23.7866,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.933333,28,-3.47886,-1.71302,-3.45405,-1.33647,68.3136,-25.772,-29.3951,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
0.966667,29,-3.47886,-1.71302,-3.45405,-1.33647,68.3136,-26.2635,-35.7598,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.0,30,-3.47886,-1.71302,-3.45405,-1.33647,68.3136,-26.6267,-42.5027,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.03333,31,-3.47886,-1.71302,-3.45405,-1.33647,68.3136,-26.8519,-49.2455,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.06667,32,-3.47886,-1.71302,-3.45405,-1.33647,68.3136,-26.9291,-55.6102,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
1.1,33,-3.47886,-1.71302,-3.45405,-1.33647,68.6738,-26.9291,-61.2188,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,growl,
1.13333,34,-3.47886,-1.71302,-3.45405,-1.33647,69.6337,-26.9291,-65.693,-30.8428,14.4883,-29.0275,14.5317,1.36604e-005,-2.73208e-005,-0.149772,0.0,
