Header
rate=30
frames=101
duration=3.36667
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD
2.26667,68,39.0208,-13.5015,44.6165,-20.6897,-59.9702,0.0207195,5.00003,-19.8998,-8.12057,-17.547,3.06353,9.12814,22.5188,9.12698,0.0
2.3,69,39.5819,-14.0267,43.2603,-18.946,-58.7336,0.0267663,5.00003,-22.4776,-5.00725,-19.3336,2.78909,8.91717,21.9184,6.78891,0.0
2.33333,70,39.9711,-14.4988,41.9143,-17.3319,-57.3865,0.0337165,5.00003,-24.2997,-2.46705,-20.4119,2.26762,8.68864,21.268,4.64547,0.0
2.36667,71,40.1571,-14.9217,40.6216,-15.9515,-55.9363,0.0416107,5.00003,-25.5349,-0.491271,-20.9235,1.59526,8.44406,20.572,2.79564,0.0
2.4,72,40.1183,-15.3005,39.433,-14.911,-54.3903,0.0504893,5.00003,-26.2728,0.885743,-20.9932,0.847676,8.18497,19.8347,1.33842,0.0
2.43333,73,39.8373,-15.6391,38.4022,-14.3044,-52.7559,0.0603927,5.00003,-26.5524,1.60219,-20.7441,0.0936448,7.91289,19.0604,0.372774,0.0
2.46667,74,39.2957,-15.9384,37.5747,-14.2606,-51.0404,0.0713614,5.00003,-26.3587,1.56033,-20.2829,-0.606987,7.62935,18.2535,-0.00229494,0.0
2.5,75,38.6209,-16.1907,36.8676,-14.4857,-49.2513,0.083436,5.00003,-25.9225,1.13769,-19.765,-1.22312,7.33588,17.4183,-0.0463112,0.0
2.53333,76,37.9518,-16.3914,36.1726,-14.6707,-47.3959,0.0966568,5.00003,-25.5226,0.786355,-19.2946,-1.7557,7.03401,16.5592,-0.0850584,0.0
2.56667,77,37.284,-16.5403,35.4843,-14.8045,-45.4815,0.111064,5.00003,-25.1521,0.50354,-18.8646,-2.21253,6.72527,15.6806,-0.11896,0.0
2.6,78,36.6119,-16.637,34.7968,-14.9157,-43.5156,0.126699,5.00003,-24.8031,0.275188,-18.4659,-2.60307,6.41117,14.7867,-0.14844,0.0
2.63333,79,35.9296,-16.6808,34.1034,-14.9723,-41.5054,0.143602,5.00003,-24.4672,0.0967479,-18.0864,-2.93767,6.09326,13.882,-0.173922,0.0
2.66667,80,35.2309,-16.6707,33.3971,-14.9821,-39.4585,0.161812,5.00003,-24.1343,-0.0418969,-17.7122,-3.22877,5.77305,12.9707,-0.195829,0.0
2.7,81,34.5097,-16.6164,32.6708,-14.9341,-37.382,0.181372,5.00003,-23.7938,-0.155359,-17.3266,-3.48982,5.45208,12.0573,-0.214585,0.0
2.73333,82,33.7607,-16.4874,31.9182,-14.8542,-35.2835,0.20232,5.00003,-23.4351,-0.249483,-16.9133,-3.73484,5.13188,11.1461,-0.230613,0.0
2.76667,83,32.9782,-16.314,31.1329,-14.7136,-33.1702,0.224698,5.00003,-23.0474,-0.335687,-16.4551,-3.97821,4.81397,10.2413,-0.244336,0.0
2.8,84,32.1574,-16.0864,30.3096,-14.5208,-31.0496,0.248546,5.00003,-22.6195,-0.424936,-15.931,-4.2345,4.49987,9.34747,-0.25618,0.0
2.83333,85,31.296,-15.8067,29.4443,-14.2761,-28.9291,0.273905,5.00003,-22.1417,-0.527088,-15.32,-4.52142,4.19112,8.46883,-0.266566,0.0
2.86667,86,30.3913,-15.4772,28.5342,-13.9732,-26.8158,0.300814,5.00003,-21.6045,-0.651154,-14.5954,-4.85855,3.88925,7.60975,-0.275918,0.0
